iter	Passed	Remaining
0	151	151711
1	153	76677
2	155	51684
3	156	39055
4	158	31571
5	159	26483
6	162	23008
7	163	20294
8	165	18174
9	166	16515
10	168	15130
11	169	13992
12	171	13011
13	173	12190
14	175	11507
15	177	10939
16	179	10396
17	181	9908
18	183	9465
19	184	9060
20	186	8698
21	188	8367
22	189	8064
23	191	7802
24	193	7553
25	195	7325
26	197	7109
27	199	6911
28	200	6728
29	202	6545
30	205	6408
31	206	6259
32	208	6096
33	208	5931
34	210	5797
35	212	5681
36	212	5543
37	213	5410
38	215	5298
39	216	5193
40	218	5103
41	219	5012
42	221	4923
43	222	4833
44	223	4747
45	224	4661
46	226	4583
47	227	4506
48	228	4428
49	229	4352
50	230	4282
51	231	4219
52	232	4155
53	233	4093
54	234	4034
55	235	3977
56	236	3920
57	238	3866
58	239	3812
59	239	3759
60	240	3708
61	241	3659
62	242	3611
63	243	3564
64	244	3518
65	245	3472
66	246	3427
67	246	3378
68	247	3335
69	247	3293
70	248	3253
71	249	3213
72	249	3174
73	250	3136
74	251	3099
75	252	3064
76	252	3029
77	253	2995
78	254	2962
79	254	2928
80	255	2896
81	255	2864
82	256	2833
83	257	2803
84	257	2771
85	258	2742
86	258	2711
87	258	2683
88	259	2655
89	259	2628
90	260	2601
91	260	2575
92	261	2550
93	261	2525
94	262	2500
95	263	2479
96	263	2456
97	264	2433
98	264	2410
99	265	2388
100	265	2366
101	266	2342
102	266	2321
103	267	2300
104	267	2280
105	267	2260
106	268	2240
107	268	2221
108	269	2202
109	269	2183
110	270	2165
111	270	2147
112	271	2129
113	271	2112
114	272	2096
115	272	2078
116	273	2062
117	273	2046
118	274	2029
119	274	2014
120	275	1998
121	275	1983
122	275	1966
123	276	1951
124	276	1937
125	277	1924
126	277	1910
127	278	1895
128	278	1882
129	279	1871
130	280	1858
131	280	1845
132	281	1832
133	281	1819
134	282	1807
135	282	1794
136	282	1782
137	283	1769
138	284	1759
139	284	1747
140	285	1736
141	285	1725
142	286	1714
143	286	1703
144	287	1692
145	287	1682
146	288	1671
147	288	1660
148	289	1650
149	289	1640
150	290	1630
151	290	1620
152	291	1611
153	291	1601
154	292	1592
155	292	1583
156	293	1573
157	293	1564
158	294	1555
159	294	1546
160	295	1537
161	295	1528
162	296	1520
163	296	1511
164	296	1502
165	297	1494
166	297	1486
167	298	1478
168	298	1469
169	299	1461
170	299	1453
171	300	1446
172	300	1438
173	301	1430
174	301	1423
175	302	1415
176	302	1408
177	303	1401
178	303	1394
179	304	1387
180	304	1378
181	305	1374
182	306	1367
183	306	1360
184	307	1353
185	307	1347
186	308	1340
187	308	1333
188	309	1326
189	309	1320
190	310	1313
191	310	1307
192	311	1301
193	311	1294
194	312	1288
195	312	1282
196	313	1276
197	313	1270
198	314	1264
199	314	1258
200	315	1252
201	315	1246
202	316	1241
203	316	1235
204	317	1229
205	317	1224
206	318	1218
207	318	1213
208	319	1207
209	319	1202
210	320	1196
211	320	1191
212	320	1185
213	321	1180
214	321	1175
215	322	1170
216	322	1165
217	323	1160
218	323	1155
219	324	1150
220	324	1145
221	325	1140
222	325	1135
223	326	1130
224	326	1125
225	327	1120
226	327	1116
227	328	1111
228	328	1106
229	329	1102
230	329	1097
231	330	1093
232	330	1088
233	331	1084
234	331	1080
235	332	1076
236	332	1071
237	333	1067
238	333	1063
239	334	1058
240	334	1054
241	335	1050
242	335	1046
243	336	1042
244	336	1038
245	337	1034
246	337	1030
247	338	1025
248	338	1021
249	339	1017
250	339	1014
251	340	1010
252	340	1006
253	341	1002
254	341	998
255	342	994
256	342	990
257	343	986
258	343	982
259	344	979
260	344	975
261	345	971
262	345	968
263	346	964
264	346	961
265	347	957
266	347	954
267	348	950
268	348	947
269	349	943
270	349	940
271	349	936
272	350	933
273	350	929
274	351	926
275	351	922
276	352	919
277	352	916
278	353	913
279	353	909
280	354	906
281	354	903
282	355	900
283	355	896
284	356	893
285	356	890
286	357	887
287	357	884
288	358	881
289	358	878
290	359	875
291	359	872
292	360	869
293	360	866
294	361	863
295	361	860
296	362	857
297	362	854
298	363	851
299	363	849
300	364	846
301	364	843
302	365	840
303	365	837
304	366	834
305	366	832
306	367	829
307	367	826
308	368	823
309	368	821
310	369	818
311	369	815
312	370	813
313	370	810
314	371	807
315	371	805
316	372	802
317	372	799
318	373	797
319	373	794
320	374	791
321	374	789
322	375	786
323	375	784
324	376	781
325	376	779
326	377	776
327	377	774
328	378	771
329	378	769
330	379	766
331	379	764
332	380	761
333	380	759
334	381	757
335	381	754
336	382	752
337	382	749
338	383	747
339	383	744
340	384	742
341	384	740
342	385	738
343	385	735
344	386	733
345	386	731
346	387	728
347	387	726
348	388	724
349	388	721
350	389	719
351	389	717
352	390	715
353	390	712
354	391	710
355	391	708
356	392	706
357	392	704
358	393	702
359	393	699
360	394	697
361	394	695
362	395	693
363	395	691
364	396	689
365	396	686
366	397	684
367	397	682
368	398	680
369	398	678
370	399	676
371	399	674
372	400	673
373	401	671
374	401	669
375	402	667
376	402	665
377	403	663
378	403	661
379	404	659
380	404	657
381	405	655
382	405	653
383	406	651
384	406	649
385	407	648
386	407	646
387	408	644
388	408	642
389	409	640
390	409	638
391	410	636
392	410	634
393	411	632
394	411	630
395	412	628
396	412	627
397	413	625
398	413	623
399	414	621
400	414	619
401	415	617
402	415	615
403	416	613
404	416	612
405	417	610
406	417	608
407	418	606
408	418	605
409	419	603
410	420	601
411	420	600
412	421	598
413	421	596
414	422	595
415	422	593
416	423	591
417	423	589
418	424	588
419	424	586
420	425	584
421	425	583
422	426	581
423	426	580
424	427	578
425	427	576
426	428	574
427	428	573
428	429	571
429	429	569
430	430	568
431	430	566
432	431	564
433	431	563
434	432	561
435	432	559
436	433	558
437	433	556
438	434	554
439	434	553
440	435	551
441	435	550
442	436	548
443	436	546
444	437	545
445	437	543
446	438	542
447	438	540
448	439	538
449	439	537
450	440	535
451	440	534
452	441	532
453	441	531
454	442	529
455	442	528
456	443	526
457	443	524
458	444	523
459	444	521
460	444	520
461	445	518
462	445	517
463	446	515
464	447	514
465	447	513
466	448	511
467	448	510
468	449	508
469	449	507
470	450	505
471	450	504
472	451	502
473	451	501
474	452	499
475	452	498
476	453	496
477	453	495
478	454	493
479	454	492
480	455	491
481	455	489
482	455	488
483	456	486
484	456	485
485	457	483
486	457	482
487	458	480
488	458	479
489	459	478
490	459	476
491	460	475
492	460	473
493	461	472
494	462	471
495	463	470
496	463	469
497	464	468
498	464	466
499	465	465
500	465	464
501	466	462
502	466	461
503	467	460
504	467	458
505	468	457
506	468	455
507	469	454
508	469	453
509	470	451
510	470	450
511	471	449
512	472	448
513	472	446
514	473	445
515	473	444
516	474	442
517	474	441
518	474	440
519	475	438
520	476	437
521	476	436
522	477	435
523	477	434
524	478	432
525	478	431
526	479	430
527	479	428
528	480	427
529	480	426
530	481	425
531	481	423
532	482	422
533	482	421
534	483	419
535	483	418
536	484	417
537	484	416
538	485	414
539	485	413
540	486	412
541	486	411
542	487	409
543	487	408
544	488	407
545	488	406
546	489	404
547	489	403
548	489	402
549	490	401
550	491	400
551	491	398
552	492	397
553	492	396
554	493	395
